bldg_id,in.building_america_climate_zone,in.state,in.heating_fuel,in.interior_lighting_generation,in.service_water_heating_fuel,in.comstock_building_type_group,in.vintage,in.sqft
33204,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Office,3,17500.0
33207,Marine,CA,NaturalGas,gen4_led,NaturalGas,Office,1,3000.0
33210,Hot-Dry,CA,Electricity,gen4_led,NaturalGas,Warehouse and Storage,0,75000.0
33224,Hot-Dry,CA,Electricity,gen2_t8_halogen,NaturalGas,Warehouse and Storage,5,17500.0
33235,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Office,0,7500.0
33246,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Mercantile,0,17500.0
33259,Hot-Dry,CA,Electricity,gen3_t5_cfl,Electricity,Food Service,5,3000.0
33283,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,2,17500.0
33298,Hot-Dry,CA,Electricity,gen3_t5_cfl,Electricity,Warehouse and Storage,2,37500.0
33317,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,4,75000.0
33328,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,5,150000.0
33331,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Office,0,7500.0
33336,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,0,17500.0
33360,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Office,7,37500.0
33372,Hot-Dry,CA,NaturalGas,gen1_t12_incandescent,NaturalGas,Mercantile,0,37500.0
33380,Hot-Dry,CA,Electricity,gen1_t12_incandescent,Electricity,Office,4,37500.0
33438,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,4,75000.0
33446,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,3,75000.0
33454,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,4,3000.0
33463,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Office,4,3000.0
